# 新月配列 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (shift_state=1), ☆=k (shift_state=2)

# シフト
d	★
k	☆

# No Shift (ベース)
q	よ
w	こ
e	が
r	て
t	ぶ
y	つ
u	ゅ
i	く
o	に
p	を
a	か
s	し
f	う
g	た
h	と
j	ん
l	い
;	の
z	じ
x	け
c	き
v	な
b	さ
n	っ
m	る
,	、
.	。
/	ー

# ☆シフト (k前置)
☆q	ぽ
☆w	ひ
☆e	ほ
☆r	ぷ
☆t	げ
☆y	ぬ
☆u	ご
☆i	ぐ
☆o	ぁ
☆p	ゔ
☆a	だ
☆s	す
☆d	ら
☆f	あ
☆g	せ
☆h	ど
☆j	ょ
☆k	ま
☆l	え
☆;	ゆ
☆z	ぜ
☆x	へ
☆c	ば
☆v	ね
☆b	び
☆n	む
☆m	ろ
☆,	；
☆.	・
☆/	ぢ

# ★シフト (d前置)
★q	ぴ
★w	ぃ
★r	ふ
★t	ぎ
★y	ぺ
★u	ゃ
★i	み
★o	や
★p	ぇ
★a	ぱ
★s	そ
★d	は
★f	お
★g	ち
★h	わ
★j	で
★k	も
★l	り
★;	れ
★z	ぅ
★x	ぉ
★v	ざ
★b	ぼ
★n	ぞ
★m	ず
★,	め
★.	べ
★/	づ
